交差点番号,管理者名,交差点名,地先名,緯度,経度,整理番号,備考
6240551331,函館市,,函館市大川町８,41.79915875,140.7386701,,
6240551338,函館市,,函館市亀田本町３,41.80151887,140.7388115,,
6240551346,函館市,,函館市亀田本町８,41.80318241,140.7389832,,
6240551350,函館市,,函館市千歳町３番,41.77118365,140.7391548,,
6240551356,函館市,,函館市松川町２３,41.78398507,140.7394981,,
6240551370,函館市,,函館市亀田本町８,41.80305445,140.7394981,,
6240551387,函館市,,函館市中島町６,41.78449708,140.7398415,,
6240551401,函館市,,函館市千歳町２,41.77195181,140.7400131,,
6240551407,函館市,,函館市千歳町８番,41.77131168,140.7400131,,
6240551418,函館市,,函館市亀田本町７,41.80305445,140.7403564,,
6240551427,函館市,,函館市中島町９,41.78500907,140.7405281,,
6240551447,函館市,,函館市中島町７,41.78526507,140.7410431,,
6240551452,函館市,,函館市亀田本町９,41.80318241,140.7410431,,
6240551456,函館市,,函館市亀田本町１０,41.80407814,140.7412148,,
6240551458,函館市,,函館市富岡町一丁目２１,41.80471795,140.7412148,,
6240551463,函館市,,函館市富岡町一丁目２２,41.80535774,140.7413864,,
6240551466,函館市,,函館市富岡町一丁目２２,41.80574162,140.7413864,,
6240551468,函館市,,函館市富岡町一丁目４２,41.80586958,140.7413864,,
6240551472,函館市,,函館市亀田本町２３,41.80650936,140.7415581,,
6240551474,函館市,,函館市亀田本町２３,41.80689323,140.7415581,,
6240551485,函館市,,函館市亀田本町２５,41.80740505,140.7417297,,
6240551491,函館市,,函館市中島町３４,41.78577707,140.7417297,,
6240551493,函館市,,函館市富岡町一丁目５０,41.80830073,140.7419014,,
6240551496,函館市,,函館市富岡町一丁目５０,41.80881254,140.7419014,,
6240551503,函館市,,函館市亀田本町２９,41.80932434,140.7420731,,
6240551511,函館市,,函館市富岡町一丁目５５,41.80996409,140.7422447,,
6240551525,函館市,,函館市中島町３６,41.78641705,140.742588,,
6240551556,渡島総合振興局 函館建設管理部,,函館市中島町,41.78936091,140.7434464,,
6240551570,函館市,,函館市梁川町１,41.78705703,140.743618,,
6240551598,函館市,,函館市中島町,41.78168101,140.7443047,,
6240551620,函館市,,函館市梁川町１,41.78769701,140.744648,,
6240551673,渡島総合振興局 函館建設管理部,,函館市千代台町,41.78168101,140.7455063,,
6240551702,函館市,,函館市梁川町６,41.78859296,140.7460213,,
6240551793,函館市,,函館市西桔梗町５８９番４４,41.82992111,140.721817,,
6240551800,渡島総合振興局 函館建設管理部,,北斗市中野通２丁目,41.82685121,140.6476593,,
6240551818,渡島総合振興局 函館建設管理部,,北斗市一本木２,41.82889783,140.6615639,,
6240551855,201236,,北斗市一本木３４９,41.8312002,140.6740952,,
6240551880,201236,,北斗市久根別五丁目５,41.82889783,140.6814766,,
6240551888,渡島総合振興局 函館建設管理部,,北斗市追分四丁目３,41.82672329,140.6857681,,
6240551890,渡島総合振興局 函館建設管理部,,北斗市追分四丁目４,41.82736287,140.6861115,,
6240551894,渡島総合振興局 函館建設管理部,,北斗市追分四丁目１０,41.82825826,140.6864548,,
6240551903,201236,,北斗市追分３丁目３,41.82659537,140.6910896,,
6240551910,201236,,北斗市七重浜七丁目７,41.8191758,140.7012177,,
6240551915,渡島総合振興局 函館建設管理部,,北斗市七重浜１丁目,41.81380246,140.7053375,,
6240551926,渡島総合振興局 函館建設管理部,,北斗市七重浜４丁目１,41.81444217,140.7159805,,
6240551930,函館市,,函館市港町１丁目３４番,41.8006231,140.7199287,,
6240551952,函館市,,函館市万代町,41.78654505,140.7279968,,
6240551955,函館市,,函館市万代町２７番１,41.78462508,140.7295418,,
6240552119,北海道開発局 函館開発建設部,函館駅前,函館市若松町１６－８,41.77271996,140.7281685,,
6240552357,渡島総合振興局 函館建設管理部,,函館市美原三丁目３６,41.8191758,140.7443047,,
6240552363,渡島総合振興局 函館建設管理部,美原３,函館市昭和１丁目３４,41.82173437,140.7406998,,
6240552366,渡島総合振興局 函館建設管理部,,函館市昭和３丁目３０,41.824037,140.7372665,,
6240552376,渡島総合振興局 函館建設管理部,,函館市西桔梗町,41.82557203,140.7259369,,
6240552379,渡島総合振興局 函館建設管理部,,函館市西桔梗町,41.82544412,140.7219887,,
6240552381,渡島総合振興局 函館建設管理部,,函館市西桔梗町,41.82544412,140.7199287,,
6240552389,北海道開発局 函館開発建設部,大野インター,北斗市石川町,41.83490939,140.6940079,,
6240552422,北海道開発局 函館開発建設部,,北斗市七重浜８丁目,41.82378115,140.6620789,,
6240552424,函館市,豊川,函館市豊川,41.76875109,140.7204437,,
6240552425,函館市,豊川,函館市豊川,41.76913519,140.7199287,,
6240552438,函館市,,函館市西桔梗町５９２番,41.82442076,140.7219887,,
6240552474,201236,,北斗市中野通一丁目６,41.82838618,140.6552124,,
6240552476,北海道開発局 函館開発建設部,,北斗市追分３９０－５,41.82147852,140.7082558,,
6240552483,北海道開発局 函館開発建設部,,北斗市七重浜８丁目,41.82135059,140.688858,,
6240552484,北海道開発局 函館開発建設部,,北斗市七重浜８丁目１,41.82019924,140.6940079,,
6240552485,北海道開発局 函館開発建設部,,北斗市七重浜七丁目４,41.81776854,140.7007027,,
6240552486,北海道開発局 函館開発建設部,,北斗市七重浜２丁目,41.81661712,140.7031059,,
6240552490,北海道開発局 函館開発建設部,,北斗市七重浜１丁目１０－２７,41.81495393,140.7065392,,
6240552496,北海道開発局 函館開発建設部,,北斗市七重浜１丁目２４番１号,41.81162742,140.7125473,,
6240552499,北海道開発局 函館開発建設部,,函館市港町３丁目,41.81047589,140.7147789,,
6240552500,渡島総合振興局 函館建設管理部,,函館市追分町,41.80075106,140.7304001,,
6240552506,渡島総合振興局 函館建設管理部,,函館市大川町１４,41.8006231,140.7388115,,
6240552515,北海道開発局 函館開発建設部,,函館市亀田町,41.79780773,140.7336617,,
6240552516,北海道開発局 函館開発建設部,,函館市亀田町１５６番地,41.79959934,140.734005,,
6240552523,北海道開発局 函館開発建設部,,函館市大森町２３,41.76900716,140.7365799,,
6240552549,北海道開発局 函館開発建設部,,函館市大森町,41.76926322,140.7372665,,
6240552551,北海道開発局 函館開発建設部,石川町６０,函館市桔梗町６２－１,41.82557203,140.7316017,,
6240552564,北海道開発局 函館開発建設部,,北斗市七重浜６丁目,41.82774661,140.7017326,,
6240552565,北海道開発局 函館開発建設部,,北斗市追分５丁目１２,41.83414199,140.6948662,,
6240552571,201236,,北斗市追分３丁目６番,41.82851409,140.6917763,,
6240552575,函館市,,函館市西桔梗町５５５番,41.82211815,140.7266235,,
6240552579,北海道開発局 函館開発建設部,,函館市昭昭和４丁目,41.8191758,140.7336617,,
6240552584,北海道開発局 函館開発建設部,,函館市昭和４丁目１０５－８,41.82109474,140.7331467,,
6240552593,北海道開発局 函館開発建設部,,函館市石川町,41.82518828,140.7353783,,
